ID_REF	SAMPLE 1	SAMPLE 2	SAMPLE 3	SAMPLE 4	SAMPLE 5	SAMPLE 6	SAMPLE 7	SAMPLE 8	SAMPLE 9	SAMPLE 10	SAMPLE 11	SAMPLE 12	SAMPLE 13	SAMPLE 14	SAMPLE 15	SAMPLE 16	SAMPLE 17	SAMPLE 18	SAMPLE 19	SAMPLE 20
hsa-miR-449b-3p	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
hsa-miR-449b-5p	-5.784051	-5.745782	-11.544527	-11.474705	-6.1743193	-6.2378025	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
hsa-miR-449c-3p	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
hsa-miR-449c-5p	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
hsa-miR-450a-5p	-2.8190637	-2.8270464	-4.544562	-5.346999	-3.2101994	-3.2079773	-3.797103	-3.8551946	-2.3420417	-2.183845	-2.29625	-2.3712056	0	0	0	0	0	0	0	0
hsa-miR-450b-3p	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
hsa-miR-450b-5p	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
hsa-miR-451a	5.3810797	5.3938284	4.9328976	4.8353434	5.200634	5.188266	5.016139	4.9901924	5.9797745	5.9969006	5.925175	5.919772	0	0	0	0	10.134358	9.948192	10.021729	10.151194
hsa-miR-452-3p	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
hsa-miR-452-5p	-3.9895697	-4.0302286	-11.544527	-11.474705	-4.3842216	-4.3998804	-11.68643	-6.384713	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
hsa-miR-454-3p	-2.4628158	-2.5042858	-1.8860173	-1.9094143	-2.5077362	-2.4994168	-2.2228446	-2.1880522	-3.0564835	-2.8466537	-2.7912457	-2.8453624	0	0	0	0	0	0	0	0
hsa-miR-454-5p	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
hsa-miR-455-3p	-1.1933746	-1.1915631	-1.6922708	-1.7581406	-1.4430156	-1.4274015	-1.5547147	-1.6390224	2.1153097	2.2806969	2.2397351	2.1675224	0	0	0	0	0	0	0	0
hsa-miR-455-5p	-4.6750836	-4.591932	-4.6274023	-5.481164	-4.66281	-4.7907767	-4.795721	-4.7290335	-0.90534973	-0.901371	-0.9248295	-0.9079566	0	0	0	0	0	0	0	0
hsa-miR-466	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
hsa-miR-483-3p	-2.3033767	-2.280672	-11.544527	-11.474705	-2.8213315	-2.7666621	-4.2102265	-4.00456	-1.7083292	-1.2470145	-1.2870493	-1.3437791	0	0	0	0	0	0	0	0
hsa-miR-483-5p	-2.821125	-2.8371768	-2.4816418	-2.489025	-2.9520712	-2.9426575	-2.7500424	-2.7203279	-1.8403645	-1.7946248	-1.813932	-1.9262204	0	0	0	0	5.049426	5.0949535	5.1088257	5.0209064
hsa-miR-484	-3.4229813	-3.4866977	-2.4638882	-2.533267	-3.4629073	-3.346439	-2.802919	-2.8276525	-1.6204443	-1.4792924	-1.4877696	-1.4210482	0	0	0	0	0	0	0	0
hsa-miR-485-3p	-4.242068	-4.0790706	-1.5668592	-1.5305829	-3.302916	-3.3093243	-2.1000085	-2.1539044	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
